create_time,breath_line,heart_line
2025/06/22 19:03:53,-0.00407807,0.0317119
2025/06/22 19:03:54,0.00415262,-0.0919307
2025/06/22 19:03:55,-0.010874,0.0471141
2025/06/22 19:03:56,0.0108541,-0.0623407
2025/06/22 19:03:57,-0.00615436,0.0658765
2025/06/22 19:03:58,-0.00679223,0.0163411
2025/06/22 19:03:59,0.00950562,0.0765191
2025/06/22 19:04:00,-0.000113636,0.0341459
2025/06/22 19:04:01,-0.00762121,-0.0718399
2025/06/22 19:04:02,0.00935613,0.0317041
2025/06/22 19:04:03,-0.00360526,-0.012073
2025/06/22 19:04:04,-0.00231904,0.0360965
2025/06/22 19:04:05,0.00400879,-0.0336814
2025/06/22 19:04:06,-0.00145761,0.0101555
2025/06/22 19:04:07,0.00509938,-0.0892278
2025/06/22 19:04:08,-0.00380611,0.075817
2025/06/22 19:04:09,0.0084457,-0.165452
2025/06/22 19:04:10,-0.00261921,0.104853
2025/06/22 19:04:11,0.00973896,-0.00866555
2025/06/22 19:04:12,0.000779022,-0.00162042
2025/06/22 19:04:13,-0.00354052,-0.0325186
2025/06/22 19:04:14,-0.00771238,-0.090147
2025/06/22 19:04:15,0.00547286,-0.177629
2025/06/22 19:04:16,-0.00248303,0.0119552
2025/06/22 19:04:17,-0.0043676,0.0749169
2025/06/22 19:04:18,0.00691744,0.119479
2025/06/22 19:04:19,-0.00550689,0.103609
2025/06/22 19:04:20,0.00375937,0.0746097
2025/06/22 19:04:21,-0.00342094,0.00676659
2025/06/22 19:04:22,-0.00471976,0.190052
2025/06/22 19:04:23,0.00151046,-0.0189326
2025/06/22 19:04:24,0.00639477,0.0481613
2025/06/22 19:04:25,-0.0028234,0.00341818
2025/06/22 19:04:26,-0.00939244,0.119125
2025/06/22 19:04:27,-0.00242021,0.0324343
2025/06/22 19:04:28,-0.025306,0.0795431
2025/06/22 19:04:29,0.00923069,0.0780555
2025/06/22 19:04:30,0.0112624,0.0575327
2025/06/22 19:04:31,0.00399555,0.236495
2025/06/22 19:04:32,0.00645778,0.177777
2025/06/22 19:04:33,0.00516877,-0.00515649
2025/06/22 19:04:34,-0.00971491,0.0735512
2025/06/22 19:04:35,-0.00157049,-0.121479
2025/06/22 19:04:36,-0.000926777,0.134533
2025/06/22 19:04:37,-0.00850836,0.0834405
2025/06/22 19:04:38,-0.00125013,-2.04351e-05
2025/06/22 19:04:39,-0.000624947,0.0380434
2025/06/22 19:04:40,0.0047446,-0.0111705
